query_id,system,rank,status,elapsed_s,record_key,accession,source,title,omics_type,organism,sample_count,relevance_score,source_url
T01,omicsdi,5,200,0.611,geo|GSE241016,GSE241016,geo,Distinct Epithelial-Innate Immune Cell Transcriptional Circuits Underlie Airway Hyperresponsiveness in Asthma,Transcriptomics,Homo sapiens,,,https://www.omicsdi.org/dataset/geo/GSE241016
T01,omicsdi,6,200,0.611,project|PRJNA688515,PRJNA688515,project,Epithelial miR-141 regulates IL-13-induced airway mucus production [single-cell RNA-seq],Genomics,,,,https://www.omicsdi.org/dataset/project/PRJNA688515
T01,omicsdi,7,200,0.611,biostudies-literature|S-EPMC7496351,S-EPMC7496351,biostudies-literature,"Epithelial cell dysfunction, a major driver of asthma development.",Unknown,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC7496351
T01,omicsdi,8,200,0.611,project|PRJNA847896,PRJNA847896,project,Type II Alveolar Epithelial Cell Aryl Hydrocarbon Receptor Protects Against Allergic Airway Inflammation through Controlling Cell Autophagy,Genomics,,,,https://www.omicsdi.org/dataset/project/PRJNA847896
T01,omicsdi,9,200,0.611,biostudies-literature|S-EPMC11837401,S-EPMC11837401,biostudies-literature,Integrated analysis reveals that EGR1 promotes epithelial IL33 production in T2 asthma.,Unknown,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC11837401
T01,omicsdi,10,200,0.611,biostudies-literature|S-EPMC4338293,S-EPMC4338293,biostudies-literature,Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus.,Unknown,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC4338293
T02,bioscouter_keyword,1,200,7.408,ena|PRJNA735714,PRJNA735714,ena,Transcriptome analysis of atopic dermatitis and psoriasis lesional skin,transcriptomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA735714
T02,bioscouter_keyword,2,200,7.408,ena|PRJEB28598,PRJEB28598,ena,"RNA-sequencing of the mRNA transcriptome in lesional and non-lesional skin, across three time-points in severe psoriasis patients treated with the tumor necrosis factor (TNF) inhibitor, etanercept",transcriptomics,,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJEB28598
T02,bioscouter_keyword,3,200,7.408,ena|PRJNA1011360,PRJNA1011360,ena,Spatial transcriptome of skin lesions.,transcriptomics,,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA1011360
T02,bioscouter_keyword,4,200,7.408,ena|PRJNA1238879,PRJNA1238879,ena,Radon Exposure Delays the Development of Skin Lesions in a Mouse Model of Psoriasis,transcriptomics,Mus musculus,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA1238879
T02,bioscouter_keyword,5,200,7.408,ena|PRJNA926486,PRJNA926486,ena,Banzhilian Formula alleviates psoriasis like lesions via the LCN2/MMP-9 axis based on transcriptome analysis,transcriptomics,Mus musculus,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA926486
T02,bioscouter_keyword,6,200,7.408,ena|PRJNA1024385,PRJNA1024385,ena,Whole Transcriptome Profiling of Lesional Psoriatic and Adjacent Normal Skin Tissues,transcriptomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA1024385
T02,bioscouter_keyword,7,200,7.408,ena|PRJNA1160898,PRJNA1160898,ena,Transcriptome analysis of subcutaneous adipose tissue from psoriatic lesion skin and peripheral non-lesional skin,genomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA1160898
T02,bioscouter_keyword,8,200,7.408,ena|PRJNA1105570,PRJNA1105570,ena,Tetrastigma hemsleyanum Polysaccharides Alleviate Imiquimod-Induced Psoriasis-Like Skin Lesions in Mice by Modulating the JAK/STAT3 Signaling Pathway,transcriptomics,Mus musculus,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA1105570
T02,bioscouter_keyword,9,200,7.408,ena|PRJNA1453987,PRJNA1453987,ena,Transcriptome profiling of back skin in a mouse model of psoriasis,transcriptomics,,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA1453987
T02,bioscouter_keyword,10,200,7.408,ena|PRJNA353012,PRJNA353012,ena,The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell,transcriptomics,Homo sapiens,0,1.0,https://www.ebi.ac.uk/ena/browser/view/PRJNA353012
T02,bioscouter_embedding,1,200,7.408,ena|PRJNA353012,PRJNA353012,ena,The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell,transcriptomics,Homo sapiens,0,0.762053,https://www.ebi.ac.uk/ena/browser/view/PRJNA353012
T02,bioscouter_embedding,2,200,7.408,ena|PRJNA1011360,PRJNA1011360,ena,Spatial transcriptome of skin lesions.,transcriptomics,,0,0.759246,https://www.ebi.ac.uk/ena/browser/view/PRJNA1011360
T02,bioscouter_embedding,3,200,7.408,ena|PRJNA326594,PRJNA326594,ena,Transcriptome analysis for anatomically separate psoriatic plaques highlight individualized expression patterns,transcriptomics,Homo sapiens,0,0.746192,https://www.ebi.ac.uk/ena/browser/view/PRJNA326594
T02,bioscouter_embedding,4,200,7.408,ena|PRJNA428473,PRJNA428473,ena,The mRNA expression analysis of mesenchymal stem cell from psoriasis skin lesion,transcriptomics,Homo sapiens,0,0.737459,https://www.ebi.ac.uk/ena/browser/view/PRJNA428473
T02,bioscouter_embedding,5,200,7.408,ena|PRJNA149759,PRJNA149759,ena,Gene expression profiling in psoriatic lesional and non-lesional skin [Set 1],genomics,Homo sapiens,0,0.72768,https://www.ebi.ac.uk/ena/browser/view/PRJNA149759
T02,bioscouter_embedding,6,200,7.408,ena|PRJNA146177,PRJNA146177,ena,Expression data from skin biopsy samples from patients with moderate-to-severe psoriasis,genomics,Homo sapiens,0,0.715384,https://www.ebi.ac.uk/ena/browser/view/PRJNA146177
T02,bioscouter_embedding,7,200,7.408,ena|PRJNA939227,PRJNA939227,ena,Total skin transcriptome modification induced by IL-17A blockade,genomics,Homo sapiens,0,0.715101,https://www.ebi.ac.uk/ena/browser/view/PRJNA939227
T02,bioscouter_embedding,8,200,7.408,ena|PRJNA772692,PRJNA772692,ena,Center of lesional skin gene expression in plaque type psoriasis,transcriptomics,Homo sapiens,0,0.709391,https://www.ebi.ac.uk/ena/browser/view/PRJNA772692
T02,bioscouter_embedding,9,200,7.408,ena|PRJNA99031,PRJNA99031,ena,Expression data from human skin biposies (lesional and uninvolved) from psoriatic patients,genomics,Homo sapiens,0,0.708595,https://www.ebi.ac.uk/ena/browser/view/PRJNA99031
T02,bioscouter_embedding,10,200,7.408,ena|PRJNA1375753,PRJNA1375753,ena,Transcriptomic Profiling of Psoriatic Lesions by Tape-Stripping Reveals Site-Specific Differences,transcriptomics,Homo sapiens,0,0.705261,https://www.ebi.ac.uk/ena/browser/view/PRJNA1375753
T02,bioscouter_hybrid,1,200,7.408,ena|PRJNA353012,PRJNA353012,ena,The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell,transcriptomics,Homo sapiens,0,0.762053,https://www.ebi.ac.uk/ena/browser/view/PRJNA353012
T02,bioscouter_hybrid,2,200,7.408,ena|PRJNA1011360,PRJNA1011360,ena,Spatial transcriptome of skin lesions.,transcriptomics,,0,0.759246,https://www.ebi.ac.uk/ena/browser/view/PRJNA1011360
T02,bioscouter_hybrid,3,200,7.408,ena|PRJNA326594,PRJNA326594,ena,Transcriptome analysis for anatomically separate psoriatic plaques highlight individualized expression patterns,transcriptomics,Homo sapiens,0,0.746192,https://www.ebi.ac.uk/ena/browser/view/PRJNA326594
T02,bioscouter_hybrid,4,200,7.408,ena|PRJNA428473,PRJNA428473,ena,The mRNA expression analysis of mesenchymal stem cell from psoriasis skin lesion,transcriptomics,Homo sapiens,0,0.737459,https://www.ebi.ac.uk/ena/browser/view/PRJNA428473
T02,bioscouter_hybrid,5,200,7.408,ena|PRJNA149759,PRJNA149759,ena,Gene expression profiling in psoriatic lesional and non-lesional skin [Set 1],genomics,Homo sapiens,0,0.72768,https://www.ebi.ac.uk/ena/browser/view/PRJNA149759
T02,bioscouter_hybrid,6,200,7.408,ena|PRJNA146177,PRJNA146177,ena,Expression data from skin biopsy samples from patients with moderate-to-severe psoriasis,genomics,Homo sapiens,0,0.715384,https://www.ebi.ac.uk/ena/browser/view/PRJNA146177
T02,bioscouter_hybrid,7,200,7.408,ena|PRJNA939227,PRJNA939227,ena,Total skin transcriptome modification induced by IL-17A blockade,genomics,Homo sapiens,0,0.715101,https://www.ebi.ac.uk/ena/browser/view/PRJNA939227
T02,bioscouter_hybrid,8,200,7.408,ena|PRJNA772692,PRJNA772692,ena,Center of lesional skin gene expression in plaque type psoriasis,transcriptomics,Homo sapiens,0,0.709391,https://www.ebi.ac.uk/ena/browser/view/PRJNA772692
T02,bioscouter_hybrid,9,200,7.408,ena|PRJNA99031,PRJNA99031,ena,Expression data from human skin biposies (lesional and uninvolved) from psoriatic patients,genomics,Homo sapiens,0,0.708595,https://www.ebi.ac.uk/ena/browser/view/PRJNA99031
T02,bioscouter_hybrid,10,200,7.408,ena|PRJNA1375753,PRJNA1375753,ena,Transcriptomic Profiling of Psoriatic Lesions by Tape-Stripping Reveals Site-Specific Differences,transcriptomics,Homo sapiens,0,0.705261,https://www.ebi.ac.uk/ena/browser/view/PRJNA1375753
T02,native_source_api,1,200,1.377,geo|GSE277173,GSE277173,geo,Transcriptome analysis of subcutaneous adipose tissue from psoriatic lesion skin and peripheral non-lesional skin,transcriptomics,Homo sapiens,16,0.6499999999999999,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277173
T02,native_source_api,2,200,1.377,geo|GSE248121,GSE248121,geo,The Characteristics of cell in Psoriatic Resolved Lesions Revealed and Onsite Recurrent by Single-cell Transcriptome,single_cell,Homo sapiens,11,0.6000000000000001,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248121
T02,native_source_api,3,200,1.377,geo|GSE183047,GSE183047,geo,Single-cell genomics segregate different transcriptomic impacts of anti-IL-17A blockade on type 17 T-cells and regulatory immune cells in psoriasis skin,single_cell,Homo sapiens,28,0.6000000000000001,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183047
T02,native_source_api,4,200,1.377,geo|GSE312703,GSE312703,geo,Transcriptomic Profiling of Psoriatic Lesions by Tape-Stripping Reveals Site-Specific Differences,transcriptomics,Homo sapiens,44,0.55,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312703
T02,native_source_api,5,200,1.377,geo|GSE220116,GSE220116,geo,Single-cell transcriptomics suggest distinct upstream drivers of IL-17A/F in hidradenitis versus psoriasis,single_cell,Homo sapiens,36,0.45000000000000007,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220116
T02,native_source_api,6,200,1.377,geo|GSE185764,GSE185764,geo,IL-4/IL-13 Inhibitors for Atopic Dermatitis Induce Psoriatic Rash Transcriptionally Close to Pustular Psoriasis,transcriptomics,Homo sapiens,19,0.35,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185764
T02,native_source_api,7,200,1.377,geo|GSE299051,GSE299051,geo,Immune Dynamics in Palmoplantar Pustulosis Unveiled by Single-Cell and High-Resolution Spatial Transcriptomics [Spatial Transcriptomics],single_cell,Homo sapiens,2,0.3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299051
T02,native_source_api,8,200,1.377,geo|GSE299050,GSE299050,geo,Immune Dynamics in Palmoplantar Pustulosis Unveiled by Single-Cell and High-Resolution Spatial Transcriptomics [scRNA-seq],single_cell,Homo sapiens,5,0.3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299050
T02,native_source_api,9,200,1.377,geo|GSE268738,GSE268738,geo,S1PR3 modulates the hyper-proliferation of keratinocytes in psoriasis by activating STAT3 in PKA/Src dependent manner,transcriptomics,Homo sapiens,6,0.3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268738
T02,native_source_api,10,200,1.377,geo|GSE224783,GSE224783,geo,Atopic Dermatitis RNA-seq cohort,transcriptomics,Homo sapiens,33,0.3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224783
T02,omicsdi,1,200,0.636,biostudies-arrayexpress|E-GEOD-30999,E-GEOD-30999,biostudies-arrayexpress,Expression data from skin biopsy samples from patients with moderate-to-severe psoriasis,Transcriptomics,Homo sapiens,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-30999
T02,omicsdi,2,200,0.636,biostudies-arrayexpress|E-GEOD-51440,E-GEOD-51440,biostudies-arrayexpress,Guselkumab (interleukin-23-specific monoclonal antibody) demonstrates clinical and molecular response in moderate-to-severe psoriasis,Transcriptomics,Homo sapiens,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-51440
T02,omicsdi,3,200,0.636,biostudies-arrayexpress|E-GEOD-47944,E-GEOD-47944,biostudies-arrayexpress,Environmental factors transmitted by aryl hydrocarbon receptor influence severity of psoriatic skin inflammation [RNA-Seq],Transcriptomics,Homo sapiens,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-47944
T02,omicsdi,4,200,0.636,biostudies-arrayexpress|E-GEOD-41662,E-GEOD-41662,biostudies-arrayexpress,Gene expression profiling in psoriatic lesional and non-lesional skin [Set 2],Transcriptomics,Homo sapiens,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-41662
T02,omicsdi,5,200,0.636,biostudies-arrayexpress|E-GEOD-34248,E-GEOD-34248,biostudies-arrayexpress,Gene expression profiling in psoriatic lesional and non-lesional skin [Set 1],Transcriptomics,Homo sapiens,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-34248
